Index,UTC,relPosN,relPosE,CoG
387,14:09:48.250 02/25/2019,-1.6601,5.1902,105.33
388,14:09:48.375 02/25/2019,-1.6601,5.1802,105.33
389,14:09:48.500 02/25/2019,-1.6702,5.1702,105.33
390,14:09:48.625 02/25/2019,-1.6602,5.1702,105.33
391,14:09:48.750 02/25/2019,-1.6803,5.1602,105.33
392,14:09:48.875 02/25/2019,-1.6800,5.1802,105.33
393,14:09:49.000 02/25/2019,-1.6900,5.1802,105.33
394,14:09:49.125 02/25/2019,-1.7000,5.1802,105.33
395,14:09:49.250 02/25/2019,-1.7001,5.1602,105.33
396,14:09:49.375 02/25/2019,-1.7100,5.1702,105.33
397,14:09:49.500 02/25/2019,-1.7101,5.1502,105.33
398,14:09:49.625 02/25/2019,-1.7200,5.1602,105.33
399,14:09:49.750 02/25/2019,-1.7203,5.1302,105.33
400,14:09:49.875 02/25/2019,-1.7203,5.1202,105.33
401,14:09:50.000 02/25/2019,-1.7302,5.1302,105.33
402,14:09:50.125 02/25/2019,-1.7402,5.1302,105.33
403,14:09:50.250 02/25/2019,-1.7305,5.1002,105.33
404,14:09:50.375 02/25/2019,-1.7306,5.0802,105.33
405,14:09:50.500 02/25/2019,-1.7406,5.0702,105.33
406,14:09:50.625 02/25/2019,-1.7603,5.1002,105.33
407,14:09:50.750 02/25/2019,-1.7407,5.0602,105.33
408,14:09:50.875 02/25/2019,-1.7407,5.0702,105.33
409,14:09:51.000 02/25/2019,-1.7506,5.0602,105.33
410,14:09:51.125 02/25/2019,-1.7507,5.0502,105.33
411,14:09:51.250 02/25/2019,-1.7508,5.0402,105.33
412,14:09:51.375 02/25/2019,-1.7508,5.0302,105.33
413,14:09:51.500 02/25/2019,-1.7607,5.0402,105.33
414,14:09:51.625 02/25/2019,-1.7707,5.0302,105.33
415,14:09:51.750 02/25/2019,-1.7709,5.0102,105.33
416,14:09:51.875 02/25/2019,-1.7707,5.0302,105.33
417,14:09:52.000 02/25/2019,-1.7710,5.0002,105.33
418,14:09:52.125 02/25/2019,-1.7709,5.0002,105.33
419,14:09:52.250 02/25/2019,-1.7907,5.0202,105.33
420,14:09:52.375 02/25/2019,-1.7810,5.0002,105.33
421,14:09:52.500 02/25/2019,-1.8007,5.0202,105.33
422,14:09:52.625 02/25/2019,-1.8006,5.0202,105.33
423,14:09:52.750 02/25/2019,-1.7909,5.0002,105.33
424,14:09:52.875 02/25/2019,-1.8105,5.0302,105.33
425,14:09:53.000 02/25/2019,-1.8105,5.0102,105.33
426,14:09:53.125 02/25/2019,-1.8302,5.0602,105.33
427,14:09:53.250 02/25/2019,-1.8204,5.0302,105.33
428,14:09:53.375 02/25/2019,-1.8402,5.0502,105.33
429,14:09:53.500 02/25/2019,-1.8401,5.0602,105.33
430,14:09:53.625 02/25/2019,-1.8402,5.0502,105.33
431,14:09:53.750 02/25/2019,-1.8600,5.0602,105.33
432,14:09:53.875 02/25/2019,-1.8501,5.0402,105.33
433,14:09:54.000 02/25/2019,-1.8501,5.0502,105.33
434,14:09:54.125 02/25/2019,-1.8501,5.0502,105.33
435,14:09:54.250 02/25/2019,-1.8602,5.0302,105.33
436,14:09:54.375 02/25/2019,-1.8698,5.0702,105.33
437,14:09:54.500 02/25/2019,-1.8700,5.0402,105.33
438,14:09:54.625 02/25/2019,-1.8699,5.0602,105.33
439,14:09:54.750 02/25/2019,-1.8797,5.0702,105.33
440,14:09:54.875 02/25/2019,-1.8798,5.0602,105.33
441,14:09:55.000 02/25/2019,-1.8896,5.0802,105.33
442,14:09:55.125 02/25/2019,-1.8896,5.0702,105.33
443,14:09:55.250 02/25/2019,-1.8896,5.0802,105.33
444,14:09:55.375 02/25/2019,-1.8896,5.0602,105.33
445,14:09:55.500 02/25/2019,-1.8896,5.0602,105.33
446,14:09:55.625 02/25/2019,-1.8995,5.0602,105.33
447,14:09:55.750 02/25/2019,-1.8994,5.0802,105.33
448,14:09:55.875 02/25/2019,-1.8995,5.0602,105.33
449,14:09:56.000 02/25/2019,-1.9190,5.1002,105.33
450,14:09:56.125 02/25/2019,-1.8996,5.0402,105.33
451,14:09:56.250 02/25/2019,-1.8995,5.0602,105.33
452,14:09:56.375 02/25/2019,-1.9094,5.0602,105.33
453,14:09:56.500 02/25/2019,-1.9193,5.0602,105.33
454,14:09:56.625 02/25/2019,-1.9094,5.0502,105.33
455,14:09:56.750 02/25/2019,-1.9095,5.0402,105.33
456,14:09:56.875 02/25/2019,-1.9095,5.0202,105.33
457,14:09:57.000 02/25/2019,-1.9194,5.0502,105.33
458,14:09:57.125 02/25/2019,-1.9095,5.0302,105.33
459,14:09:57.250 02/25/2019,-1.9097,5.0002,105.33
460,14:09:57.375 02/25/2019,-1.9293,5.0302,105.33
461,14:09:57.500 02/25/2019,-1.9195,5.0102,105.33
462,14:09:57.625 02/25/2019,-1.9293,5.0302,105.33
